"Label (Grouping)","Durham city, North Carolina"
"Total:","283,506"
"    Population of one race:","262,558"
"        White alone","113,925"
"        Black or African American alone","102,742"
"        American Indian and Alaska Native alone","1,999"
"        Asian alone","16,017"
"        Native Hawaiian and Other Pacific Islander alone","107"
"        Some Other Race alone","27,768"
"    Population of two or more races:","20,948"
"        Population of two races:","19,319"
"            White; Black or African American","3,140"
"            White; American Indian and Alaska Native","1,576"
"            White; Asian","2,572"
"            White; Native Hawaiian and Other Pacific Islander","67"
"            White; Some Other Race","8,913"
"            Black or African American; American Indian and Alaska Native","1,007"
"            Black or African American; Asian","297"
"            Black or African American; Native Hawaiian and Other Pacific Islander","21"
"            Black or African American; Some Other Race","981"
"            American Indian and Alaska Native; Asian","28"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","7"
"            American Indian and Alaska Native; Some Other Race","559"
"            Asian; Native Hawaiian and Other Pacific Islander","35"
"            Asian; Some Other Race","96"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","20"
"        Population of three races:","1,433"
"            White; Black or African American; American Indian and Alaska Native","566"
"            White; Black or African American; Asian","120"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","10"
"            White; Black or African American; Some Other Race","253"
"            White; American Indian and Alaska Native; Asian","43"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","3"
"            White; American Indian and Alaska Native; Some Other Race","242"
"            White; Asian; Native Hawaiian and Other Pacific Islander","30"
"            White; Asian; Some Other Race","72"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","7"
"            Black or African American; American Indian and Alaska Native; Asian","23"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","10"
"            Black or African American; American Indian and Alaska Native; Some Other Race","35"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","6"
"            Black or African American; Asian; Some Other Race","7"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","4"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"            American Indian and Alaska Native; Asian; Some Other Race","0"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"        Population of four races:","177"
"            White; Black or African American; American Indian and Alaska Native; Asian","58"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","100"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","0"
"            White; Black or African American; Asian; Some Other Race","12"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"            White; American Indian and Alaska Native; Asian; Some Other Race","1"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","0"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"        Population of five races:","15"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","4"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","11"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of six races:","4"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","4"
